timestamp,serial,event_type,old_value,new_value,details
2026-09-13 18:28:27,R5CR303YMGD,IP_CHANGED,N/A,10.115.0.123,
2026-09-13 18:28:27,R5CR303YMGD,NETWORK_CHANGED,N/A,"LTE,Unknown",
2026-09-13 18:28:57,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 18:30:00,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 18:30:31,R5CR303YMGD,IP_CHANGED,10.115.0.123,N/A,
2026-09-13 18:30:31,R5CR303YMGD,NETWORK_CHANGED,"LTE,Unknown",N/A,
2026-09-13 18:31:02,R5CR303YMGD,IP_CHANGED,N/A,10.115.0.123,
2026-09-13 18:31:02,R5CR303YMGD,NETWORK_CHANGED,N/A,"LTE,Unknown",
2026-09-13 18:31:32,R5CR303YMGD,ADB_DISCONNECTED,,,
2026-09-13 18:31:32,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 18:32:02,R5CR303YMGD,ADB_CONNECTED,,,
2026-09-13 18:32:03,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 18:32:34,R5CR303YMGD,ADB_DISCONNECTED,,,
2026-09-13 18:33:04,R5CR303YMGD,ADB_CONNECTED,,,
2026-09-13 18:33:36,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 18:34:06,R5CR303YMGD,ADB_DISCONNECTED,,,
2026-09-13 18:34:07,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 18:34:37,R5CR303YMGD,ADB_CONNECTED,,,
2026-09-13 18:37:13,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 18:38:15,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 18:38:46,R5CR303YMGD,ADB_DISCONNECTED,,,
2026-09-13 18:38:46,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 18:39:16,R5CR303YMGD,ADB_CONNECTED,,,
2026-09-13 18:39:17,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 18:39:48,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 18:40:19,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 18:40:50,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 18:41:21,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 18:41:21,R5CR303YMGD,IP_CHANGED,10.115.0.123,N/A,
2026-09-13 18:41:21,R5CR303YMGD,NETWORK_CHANGED,"LTE,Unknown",N/A,
2026-09-13 18:41:53,R5CR303YMGD,IP_CHANGED,N/A,10.115.0.123,
2026-09-13 18:41:53,R5CR303YMGD,NETWORK_CHANGED,N/A,"LTE,Unknown",
2026-09-13 18:42:54,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 18:43:26,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 18:45:30,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 18:46:01,R5CR303YMGD,IP_CHANGED,10.115.0.123,N/A,
2026-09-13 18:46:02,R5CR303YMGD,NETWORK_CHANGED,"LTE,Unknown",N/A,
2026-09-13 18:46:32,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 18:47:03,R5CR303YMGD,IP_CHANGED,N/A,10.115.0.123,
2026-09-13 18:47:03,R5CR303YMGD,NETWORK_CHANGED,N/A,"LTE,Unknown",
2026-09-13 18:48:05,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 18:48:06,R5CR303YMGD,IP_CHANGED,10.115.0.123,N/A,
2026-09-13 18:48:37,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 18:48:37,R5CR303YMGD,NETWORK_CHANGED,"LTE,Unknown",N/A,
2026-09-13 18:49:07,R5CR303YMGD,ADB_DISCONNECTED,,,
2026-09-13 18:49:37,R5CR303YMGD,ADB_CONNECTED,,,
2026-09-13 18:49:39,R5CR303YMGD,IP_CHANGED,N/A,10.115.0.123,
2026-09-13 18:49:39,R5CR303YMGD,NETWORK_CHANGED,N/A,"LTE,Unknown",
2026-09-13 18:52:14,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 18:52:45,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 18:53:16,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 18:53:17,R5CR303YMGD,IP_CHANGED,10.115.0.123,N/A,
2026-09-13 18:53:17,R5CR303YMGD,NETWORK_CHANGED,"LTE,Unknown",N/A,
